[20210406 21:10:28.249]->line:123 [DEBUG] : debug
[20210406 21:10:28.250]->line:124 [INFO] : aabbc22222
[20210406 21:10:28.250]->line:125 [WARNING] : WARNING
[20210406 21:10:28.251]->line:126 [ERROR] : error
[20210406 21:10:28.251]->line:127 [CRITICAL] : critical
[20210406 21:19:05.284]->line:124 [INFO] : aabbc22222
[20210406 21:19:05.284]->line:125 [WARNING] : WARNING
[20210406 21:19:05.285]->line:126 [ERROR] : error
[20210406 21:19:05.285]->line:127 [CRITICAL] : critical
[20210406 21:25:25.913]->line:124 [INFO] : aabbc22222
[20210406 21:25:25.914]->line:125 [WARNING] : WARNING
[20210406 21:25:25.914]->line:126 [ERROR] : error
[20210406 21:25:25.915]->line:127 [CRITICAL] : critical
